fonte,origem_tipo,pais,classe,titulo,tipo,fase_produto,produto,categoria,valor,score,ano,link,origem,score_final
Prefeitura SP Cultura,municipal,Brasil,oportunidade,"Prefeitura de São Paulo oferece cursos gratuitos de teatro e cinema pelo Programa Vocacional Aulas são realizadas em EMIAs, Casas de Cultura e CEUs com inscrições presenciais Prefeitura de São Paulo oferece cursos gratuitos de teatro e cinema pelo Programa Vocacional Aulas são realizadas em EMIAs, Casas de Cultura e CEUs com inscrições presenciais Abre e Fecha - Suspensão de Expediente e Feriado Tiradentes Confira o funcionamento dos equipamentos municipais da Secretaria",edital,nao identificado,formacao_mentoria,audiovisual,,35,,https://prefeitura.sp.gov.br/web/cultura/w/prefeitura-de-s%C3%A3o-paulo-oferece-cursos-gratuitos-de-teatro-e-cinema-pelo-programa-vocacional,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura,45
Prefeitura SP Cultura,municipal,Brasil,oportunidade,"Prefeitura de São Paulo reconhece novos estabelecimentos com o Selo de Valor Cultural na cidade Setor gastronômico se destaca entre os estabelecimentos reconhecidos entre 2025 e 20 Prefeitura de São Paulo oferece cursos gratuitos de teatro e cinema pelo Programa Vocacional Aulas são realizadas em EMIAs, Casas de Cultura e CEUs com inscrições presenciais Abre e Fecha - Suspensão de Expediente e Feriado Tiradentes Confira o funcionamento dos equipamentos municipais da Secretaria",edital,nao identificado,formacao_mentoria,audiovisual,,35,2025,https://prefeitura.sp.gov.br/web/cultura/w/prefeitura-de-s%C3%A3o-paulo-reconhece-novos-estabelecimentos-com-o-selo-de-valor-cultural-na-cidade,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura,45
Prefeitura SP Cultura,municipal,Brasil,oportunidade,"“Método Mágico Científico” faz experimentos que parecem magia na Mário Schenberg Bibliotecas temáticas da prefeitura recebem programação de acordo com seus temas Prefeitura de São Paulo oferece cursos gratuitos de teatro e cinema pelo Programa Vocacional Aulas são realizadas em EMIAs, Casas de Cultura e CEUs com inscrições presenciais Abre e Fecha - Suspensão de Expediente e Feriado Tiradentes Confira o funcionamento dos equipamentos municipais da Secretaria",edital,nao identificado,formacao_mentoria,audiovisual,,35,,https://prefeitura.sp.gov.br/web/cultura/w/-m%C3%A9todo-m%C3%A1gico-cient%C3%ADfico-faz-experimentos-que-parecem-magia-na-m%C3%A1rio-schenberg,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura,45
ANCINE,federal,Brasil,oportunidade,Oficina para selecionados na Chamada Pública BRDE/FSA – PRODUÇÃO SELETIVO TV VOD,edital,producao,formacao_mentoria,audiovisual,,26,2013,https://www.gov.br/ancine/pt-br/centrais-de-conteudo/eventos-de-capacitacao/oficina-para-selecionados-na-chamada-publica-brde-fsa-2013-producao-seletivo-tv-vod,https://www.gov.br/ancine,36
MinC Brasil,estadual,Brasil,oportunidade,Secretaria do Audiovisual,outro,nao identificado,nao identificado,audiovisual,,35,,https://www.gov.br/cultura/pt-br/composicao/secretaria-do-audiovisual,https://www.gov.br/cultura/pt-br,35
SECULT MG,estadual,Brasil,oportunidade,Programa de Desenvolvimento do Audiovisual Mineiro,outro,desenvolvimento,desenvolvimento_roteiro,audiovisual,,35,,https://www.secult.mg.gov.br/a-secretaria/audiovisual/prog-de-desenvolv-do-audiovisual-mineiro,https://www.secult.mg.gov.br,35
ANCINE,federal,Brasil,oportunidade,Mercado Audiovisual,mercado,nao identificado,mercado_pitch_coproducao,audiovisual,,25,,https://www.gov.br/ancine/pt-br/oca/paineis-interativos-1/paineis-interativos-subsecao-mercado-audiovisual,https://www.gov.br/ancine,35
MinC Brasil,federal,Brasil,oportunidade,AUDIOVISUAL Reunião dos Arranjos Regionais define prazos e orientações para nova etapa da política audiovisual,outro,nao identificado,nao identificado,audiovisual,,0,,https://www.gov.br/cultura/pt-br/assuntos/noticias/reuniao-dos-arranjos-regionais-define-prazos-e-orientacoes-para-nova-etapa-da-politica-audiovisual,https://www.gov.br/cultura/pt-br,30
MinC Brasil,federal,Brasil,oportunidade,Reunião dos Arranjos Regionais define prazos e orientações para nova etapa da política audiovisual,outro,nao identificado,nao identificado,audiovisual,,0,,https://www.gov.br/cultura/pt-br/assuntos/noticias/reuniao-dos-arranjos-regionais-define-prazos-e-orientacoes-para-nova-etapa-da-politica-audiovisual,https://www.gov.br/cultura/pt-br,30
ANCINE,federal,Brasil,oportunidade,Agentes Econômicos do Setor Audiovisual,outro,nao identificado,nao identificado,audiovisual,,25,,https://www.gov.br/ancine/pt-br/oca/paineis-interativos-1/paineis-interativos-subsecao-agentes-economicos-do-audiovisual,https://www.gov.br/ancine,25
MinC Brasil,federal,Brasil,oportunidade,Centro Técnico Audiovisual (CTAV),outro,nao identificado,nao identificado,audiovisual,,25,,https://www.gov.br/ctav/pt-br,https://www.gov.br/cultura/pt-br,25
MinC Brasil,federal,Brasil,oportunidade,Cinema do Brasil,outro,nao identificado,nao identificado,audiovisual,,25,,https://www.gov.br/cultura/pt-br/assuntos/cinema-do-brasil,https://www.gov.br/cultura/pt-br,25
MinC Brasil,federal,Brasil,oportunidade,Cinemateca,outro,nao identificado,nao identificado,audiovisual,,25,,https://www.gov.br/cultura/pt-br/assuntos/cinemateca,https://www.gov.br/cultura/pt-br,25
SECULT MG,estadual,Brasil,oportunidade,Audiovisual Audiovisual Programa de Desenvolvimento do Audiovisual Mineiro,outro,desenvolvimento,desenvolvimento_roteiro,audiovisual,,25,,https://www.secult.mg.gov.br,https://www.secult.mg.gov.br,25
ANCINE,federal,Brasil,oportunidade,Seminário para proponentes contemplados nos Editais Cinema e TV -Seleção TV Brasil - EBC,formacao,nao identificado,formacao_mentoria,audiovisual,,69,,https://www.gov.br/ancine/pt-br/centrais-de-conteudo/eventos-de-capacitacao/seminario-para-proponentes-contemplados-nos-editais-cinema-e-tv-selecao-tv-brasil-ebc,https://www.gov.br/ancine,9
ANCINE,federal,Brasil,oportunidade,Webinário - Chamada de Coprodução Internacional Cinema 2023,formacao,producao,producao_obra,audiovisual,,67,2023,https://www.gov.br/ancine/pt-br/centrais-de-conteudo/eventos-de-capacitacao/webinario-chamada-de-coproducao-internacional-cinema-2023,https://www.gov.br/ancine,7
ANCINE,federal,Brasil,oportunidade,Cinema Brasileiro de Todos e para Todos realiza sessão inclusiva em São Paulo,mostra,nao identificado,festival_inscricao,audiovisual,,0,,https://www.gov.br/ancine/pt-br/assuntos/noticias/cinema-brasileiro-de-todos-e-para-todos-realiza-sessao-inclusiva-em-sao-paulo,https://www.gov.br/ancine,0
ANCINE,municipal,Brasil,oportunidade,Webinário - Cinema nas Cidades - Apoio aos Pequenos Exibidores 2023 - Execução e Prestação de Contas,formacao,nao identificado,formacao_mentoria,audiovisual,,35,2023,https://www.gov.br/ancine/pt-br/centrais-de-conteudo/eventos-de-capacitacao/webinario-cinema-nas-cidades-apoio-aos-pequenos-exibidores-2023-execucao-e-prestacao-de-contas,https://www.gov.br/ancine,-25
ANCINE,federal,Brasil,oportunidade,Webinário - Produção Cinema - Desempenho Artístico e Comercial de Produtoras 2024,formacao,producao,producao_obra,audiovisual,,35,2024,https://www.gov.br/ancine/pt-br/centrais-de-conteudo/eventos-de-capacitacao/webinario-producao-cinema-desempenho-artistico-e-comercial-de-produtoras-2024,https://www.gov.br/ancine,-25
